Cluster,Stock_A,Stock_B,Correlation,PValue,Cointegrated
5,SHW,HD,0.6028042593115062,0.0156426125382469,True
5,AXP,GS,0.6237567599051456,0.11472574503657912,False
5,AXP,JPM,0.6409819962418782,0.2508742903141342,False
1,PG,KO,0.6509245123854792,0.424275105797947,False
5,JPM,GS,0.7488250056899349,0.5327262809966339,False
5,NVDA,MSFT,0.6379683039941803,0.5554509489626235,False
5,AMZN,MSFT,0.6892769581273943,0.5921128753739578,False
5,MSFT,AAPL,0.6848113187117463,0.7703578263844129,False
