Date,ADF_PValue,Stationary
2023-01-03,0.16276402356073,False
2023-01-04,0.13570459536689722,False
2023-01-05,0.22121576078436722,False
2023-01-06,0.18019479366027574,False
2023-01-09,0.19267187804426594,False
2023-01-10,0.24804673130139315,False
2023-01-11,0.2523835790355121,False
2023-01-12,0.2536107370595278,False
2023-01-13,0.2474344022903302,False
2023-01-17,0.22782290682706624,False
2023-01-18,0.2298028872758177,False
2023-01-19,0.21026729516225856,False
2023-01-20,0.18174994589902638,False
2023-01-23,0.18786755279903578,False
2023-01-24,0.18962145562677257,False
2023-01-25,0.19589044636789688,False
2023-01-26,0.2735547420756827,False
2023-01-27,0.26065329952650573,False
2023-01-30,0.2057428022151444,False
2023-01-31,0.2321498545905728,False
2023-02-01,0.24000179719992876,False
2023-02-02,0.31042899680428293,False
2023-02-03,0.27600675194490576,False
2023-02-06,0.246567481697477,False
2023-02-07,0.2498104991116729,False
2023-02-08,0.22168719976474838,False
2023-02-09,0.22939840893342195,False
2023-02-10,0.2579815861008439,False
2023-02-13,0.2926624559933104,False
2023-02-14,0.24360006511932908,False
2023-02-15,0.25431644375745255,False
2023-02-16,0.3291644043129793,False
2023-02-17,0.5810465321377093,False
2023-02-21,0.1713071967495403,False
2023-02-22,0.23109615203447248,False
2023-02-23,0.2244737544960005,False
2023-02-24,0.23684856593788067,False
2023-02-27,0.21760204678849226,False
2023-02-28,0.2310329807074571,False
2023-03-01,0.24637722260410944,False
2023-03-02,0.3228680229588213,False
2023-03-03,0.3270391824676996,False
2023-03-06,0.31979529427653797,False
2023-03-07,0.3135063396462614,False
2023-03-08,0.32200065522928234,False
2023-03-09,0.30194736159184987,False
2023-03-10,0.2919016002237512,False
2023-03-13,0.30374440604904684,False
2023-03-14,0.332660848217433,False
2023-03-15,0.3769317819807295,False
2023-03-16,0.3898088727134995,False
2023-03-17,0.4772734965239879,False
2023-03-20,0.49720221322959063,False
2023-03-21,0.5089132100630137,False
2023-03-22,0.5197536119067346,False
2023-03-23,0.5493906768367998,False
2023-03-24,0.5396831929782919,False
2023-03-27,0.5152869621414969,False
2023-03-28,0.5086720891514703,False
2023-03-29,0.5018208453300693,False
2023-03-30,0.49884389909832527,False
2023-03-31,0.43695304113694194,False
2023-04-03,0.4482195258806254,False
2023-04-04,0.5059504335300211,False
2023-04-05,0.24528940568586072,False
2023-04-06,0.4895382739314987,False
2023-04-10,0.3149745259037101,False
2023-04-11,0.3085226848932907,False
2023-04-12,0.3180855448076316,False
2023-04-13,0.3963199111046615,False
2023-04-14,0.4078512825510344,False
2023-04-17,0.41430669192171815,False
2023-04-18,0.44754671377085864,False
2023-04-19,0.42976508510192346,False
2023-04-20,0.41893064817523484,False
2023-04-21,0.42474865410036844,False
2023-04-24,0.28667972343864007,False
2023-04-25,0.1963084422312792,False
2023-04-26,0.23086968281996645,False
2023-04-27,0.17477854437170187,False
2023-04-28,0.305767008695746,False
2023-05-01,0.28697104458387623,False
2023-05-02,0.2663077522566425,False
2023-05-03,0.142426189509062,False
2023-05-04,0.10367067763927196,False
2023-05-05,0.08049561983440551,False
2023-05-08,0.10190273680822076,False
