,Price_A,Price_B,Spread,Zscore,Position_A,Position_B,Return_A,Return_B,Strategy_Return,Cumulative_Return
2022-01-03,325.36328125,366.8867492675781,-100.80744056044477,-0.9674744111022149,0,0,,,0.0,1.0
2022-01-04,322.1011962890625,370.6575622558594,-108.44965125837365,-1.446048134978044,1,-1,-0.010025977573145384,0.010277866387404355,0.0,1.0
2022-01-05,322.70562744140625,365.6297607421875,-102.00499337535973,-1.0424680657952416,1,-1,0.0018765256363757477,-0.013564545892635116,0.015441071529010864,1.0154410715290108
2022-01-06,320.0288391113281,364.3009338378906,-103.13823421538581,-1.1134343490209098,1,-1,-0.008294830032253286,-0.0036343510484472263,-0.00466047898380606,1.0107086297558563
2022-01-07,310.10821533203125,353.39239501953125,-100.38764577075216,-0.9411858456977943,1,-1,-0.030999155597492223,-0.029943757495866197,-0.001055398101626026,1.009641929786715
2022-01-10,310.1849365234375,347.870849609375,-93.897171567952,-0.5347366477195337,0,0,0.0002474013509254913,-0.015624403603397008,0.0158718049543225,1.0256667695699955
2022-01-11,311.3363342285156,347.1615295410156,-91.92183719541231,-0.4110364300819274,0,0,0.003711971696572558,-0.0020390327880472903,0.0,1.0256667695699955
2022-01-12,308.5444030761719,349.6125793457031,-97.56087489096672,-0.7641666139656331,0,0,-0.008967572510488075,0.007060257534664105,0.0,1.0256667695699955
2022-01-13,304.5147399902344,347.4398193359375,-99.06668912291536,-0.8584643444173974,0,0,-0.013060237183893042,-0.006214764965928654,-0.0,1.0256667695699955
2022-01-14,295.9469909667969,333.990478515625,-92.01186443195849,-0.41667415345113923,0,0,-0.028135744836891186,-0.038709842890254365,-0.0,1.0256667695699955
2022-01-18,293.7979431152344,329.2499084472656,-88.65432974310806,-0.20641720783710538,0,0,-0.007261597235849626,-0.01419372818479192,-0.0,1.0256667695699955
2022-01-19,291.46649169921875,322.938232421875,-83.65422303405052,0.10670157180851413,0,0,-0.007935560716642476,-0.019169864177506768,-0.0,1.0256667695699955
2022-01-20,285.58514404296875,313.8611755371094,-78.99178328937217,0.39867482917527347,0,0,-0.020178469305210278,-0.028107718360542933,-0.0,1.0256667695699955
2022-01-21,280.9703063964844,313.4302673339844,-83.10608375285273,0.14102737979448607,0,0,-0.016159235670151095,-0.0013729261110030366,-0.0,1.0256667695699955
2022-01-24,286.4102478027344,326.6373291015625,-93.0072879663889,-0.479009983557879,0,0,0.01936126801446969,0.042137161416848645,0.0,1.0256667695699955
2022-01-25,282.3230895996094,322.3007507324219,-92.05713496257158,-0.41950910360806376,0,0,-0.014270293170305925,-0.013276432246946968,-0.0,1.0256667695699955
2022-01-26,280.8743591308594,320.77447509765625,-91.73296414707437,-0.39920874282549473,0,0,-0.005131462930660691,-0.00473556338698311,-0.0,1.0256667695699955
2022-01-27,271.6829528808594,320.0113525390625,-100.03793747935532,-0.9192862663876616,0,0,-0.03272426247252325,-0.0023790002566801416,-0.0,1.0256667695699955
2022-01-28,276.0291442871094,329.0883483886719,-106.23546257641561,-1.3073902825878254,1,-1,0.015997291549447734,0.02836460574785815,0.0,1.0256667695699955
2022-01-31,274.8874206542969,329.48345947265625,-107.83614193928128,-1.4076286970593626,1,-1,-0.0041362430614390044,0.0012006231333288042,-0.005336866194767809,1.0201929232603806
2022-02-01,281.2005310058594,331.027587890625,-103.31667042522781,-1.1246084561992842,1,-1,0.022966166791247966,0.0046865127021555875,0.01827965408909238,1.0388416970017202
2022-02-02,282.38067626953125,335.5436706542969,-107.38234626300454,-1.3792109138734885,1,-1,0.004196810224541547,0.013642617500400078,-0.009445807275858531,1.0290289985417163
2022-02-03,276.1539001464844,327.53515625,-104.30653958326019,-1.1865964578174248,1,-1,-0.022050999400197724,-0.02386727900031782,0.0018162796001200965,1.0308980029196997
2022-02-04,270.3013610839844,322.9203186035156,-104.79854519840501,-1.2174070398223789,1,-1,-0.02119303424429475,-0.014089594837147779,-0.007103439407146972,1.0235750814210107
2022-02-07,267.8931579589844,320.8373107910156,-104.7871544166693,-1.2166937215106246,1,-1,-0.008909326669101603,-0.006450531888200994,-0.0024587947809006083,1.0210583203529529
2022-02-08,268.3249816894531,324.5094299316406,-108.62081497490334,-1.4567668210297438,1,-1,0.0016119251934567647,0.0114454242605746,-0.009833499067117835,1.0110177443122892
2022-02-09,274.9930419921875,327.14007568359375,-105.0084774563129,-1.2305535057338552,1,-1,0.02485068762792908,0.008106530995130923,0.016744156632798157,1.0279463837815925
2022-02-10,268.5743103027344,318.8082275390625,-101.74904621167701,-1.0264400351532323,1,-1,-0.023341433088461483,-0.02546874798852139,0.0021273149000599068,1.030133149440274
2022-02-11,262.021484375,314.4986877441406,-103.29596857723823,-1.123312056391023,1,-1,-0.024398558150807825,-0.013517655514062366,-0.01088090263674546,1.0189243709383302
2022-02-14,259.5077819824219,315.6389465332031,-107.13418026909079,-1.363670158908589,1,-1,-0.009593497260631412,0.0036256392585973796,-0.013219136519228791,1.0054550705761272
2022-02-15,260.5534362792969,317.1652526855469,-107.86146270527195,-1.409214344688108,1,-1,0.004029375492661913,0.004835607801596753,-0.00080623230893484,1.0046444402130463
2022-02-16,261.5705261230469,314.3191223144531,-103.53834603706713,-1.1384903193464422,1,-1,0.0039035748607811893,-0.008973651265372196,0.012877226126153385,1.0175814738460525
2022-02-17,256.3800048828125,312.3888244628906,-106.48665921077475,-1.3231208235899081,1,-1,-0.019843677791865133,-0.00614120400104512,-0.013702473790820013,1.003638090370653
2022-02-18,257.1954650878906,311.4281311035156,-104.55527049854646,-1.2021725895254731,1,-1,0.0031806700583021374,-0.0030753128285775366,0.006255982886879674,1.0099168330886326
2022-02-22,250.96878051757812,283.8650207519531,-78.76501617063968,0.41287553480274425,0,0,-0.02420993141611061,-0.08850552534832123,0.06429559393221063,1.0748500356942032
2022-02-23,248.877197265625,276.9338073730469,-72.80539502612015,0.7860814298973141,0,0,-0.00833403759479412,-0.024417285935919852,-0.0,1.0748500356942032
2022-02-24,248.43582153320312,281.2343444824219,-78.24221692206174,0.4456144886370368,0,0,-0.0017734679483343285,0.015529115604083321,0.0,1.0748500356942032
2022-02-25,257.0234680175781,284.2958984375,-73.2108304048345,0.7606920855502765,0,0,0.0345668608954095,0.010886131139895339,0.0,1.0748500356942032
2022-02-28,253.0422821044922,283.55963134765625,-76.3367783521166,0.5649376620065458,0,0,-0.015489581335871083,-0.002589791459849722,-0.0,1.0748500356942032
2022-03-01,245.7335662841797,287.528076171875,-88.25518639646958,-0.18142188576193571,0,0,-0.02888337774828642,0.01399509798118359,0.0,1.0748500356942032
2022-03-02,250.24378967285156,293.92059326171875,-91.17042502789758,-0.36398118214554304,0,0,0.018354120101996996,0.022232670892363693,0.0,1.0748500356942032
2022-03-03,248.14736938476562,291.2181091308594,-90.12767603546627,-0.2986817173570538,0,0,-0.008377511748949407,-0.009194606273991046,-0.0,1.0748500356942032
2022-03-04,248.58006286621094,291.1283264160156,-89.59069215795881,-0.26505448774014856,0,0,0.0017436956213483512,-0.0003083005899313651,0.0,1.0748500356942032
2022-03-07,233.63587951660156,289.79058837890625,-102.9809769652897,-1.1035865195433263,1,-1,-0.06011818959774151,-0.004595011600478149,-0.0,1.0748500356942032
2022-03-08,230.65472412109375,284.37664794921875,-99.67337184991862,-0.8964562846228381,1,-1,-0.01275983552558746,-0.018682250724473715,0.005922415198886255,1.0812157438821222
2022-03-09,232.44342041015625,286.50836181640625,-100.36084576674727,-0.9395075646056517,1,-1,0.007754865181618609,0.007496093236066814,0.0002587719455517945,1.0814955321837278
2022-03-10,228.44288635253906,287.1767883300781,-105.13781508777328,-1.2386529411422567,1,-1,-0.017210786395063682,0.002333008745134535,-0.019543795140198217,1.0603590050576894
2022-03-11,224.6347198486328,286.1379699707031,-107.7393041335032,-1.4015644793669952,1,-1,-0.01667010325736029,-0.0036173479250035667,-0.013052755332356725,1.0465183984002102
2022-03-14,228.5198211669922,287.55609130859375,-105.50147352031411,-1.2614261120425407,1,-1,0.017295195154948928,0.00495607534377851,0.012339119811170418,1.0594315143026647
2022-03-15,233.14541625976562,296.7511291503906,-111.55671092404214,-1.640619728627816,1,-1,0.020241548716219526,0.03197650169729549,-0.011734952981075963,1.046999135295653
2022-03-16,235.01104736328125,298.891845703125,-112.17770742507105,-1.6795080319942501,1,-1,0.008002006359142833,0.0072138446747054275,0.0007881616844374051,1.047824339897732
2022-03-17,238.03065490722656,303.81439208984375,-114.87606366957351,-1.8484856285717841,1,-1,0.012848789781688907,0.016469323126359514,-0.0036205333446706067,1.044030656935775
2022-03-18,241.8869171142578,307.77069091796875,-115.61538506060282,-1.894783722831583,1,-1,0.016200695698351364,0.013022091550406456,0.003178604147944908,1.0473492171124925
2022-03-21,236.3958282470703,297.5008239746094,-109.17713437849892,-1.491604888071689,1,-1,-0.022701057720264095,-0.033368567074168354,0.010667509353904259,1.0585218246828443
2022-03-22,240.57908630371094,297.8259582519531,-105.37154793288681,-1.2532898574089586,1,-1,0.017695989339830742,0.001092885300282287,0.016603104039548455,1.0760965726661862
2022-03-23,238.1460723876953,286.372802734375,-94.50073017965417,-0.5725329482661692,0,0,-0.010113156357008268,-0.038455867261540155,0.028342710904531887,1.1065960667306216
2022-03-24,240.34828186035156,285.2257080078125,-90.96607087450872,-0.3511840306350115,0,0,0.009247305448191856,-0.004005599399138804,0.0,1.1065960667306216
2022-03-25,235.8092498779297,280.6191711425781,-90.15421148562194,-0.3003434314470834,0,0,-0.01888522750106103,-0.016150496732602382,-0.0,1.1065960667306216
2022-03-28,240.97332763671875,283.8708190917969,-88.76720432520807,-0.2134856872629824,0,0,0.021899385886950284,0.011587404866101103,0.0,1.1065960667306216
2022-03-29,249.4071044921875,286.968994140625,-83.93222600768058,0.08929235298460086,0,0,0.034998798158205835,0.01091403145536507,0.0,1.1065960667306216
2022-03-30,243.31021118164062,278.6139831542969,-80.32405073811151,0.31524501817640477,0,0,-0.024445547864246464,-0.029114681923559593,-0.0,1.1065960667306216
2022-03-31,240.05015563964844,270.367431640625,-74.00502276715457,0.7109578383104999,0,0,-0.013398761713121932,-0.029598483968067413,-0.0,1.1065960667306216
2022-04-01,245.4258575439453,272.67974853515625,-71.31527712037888,0.8793962184254449,0,0,0.022394077979131177,0.008552497911822554,0.0,1.1065960667306216
2022-04-04,249.10902404785156,276.0126953125,-71.50361684200942,0.8676019293777885,0,0,0.01500724716117885,0.012222934762293303,0.0,1.1065960667306216
2022-04-05,248.0800323486328,275.3623046875,-71.77712352393519,0.850474279218966,0,0,-0.004130688172183983,-0.0023563793841571146,-0.0,1.1065960667306216
2022-04-06,252.5614013671875,269.6539001464844,-60.664948436512645,1.546345568581514,-1,1,0.01806420684538179,-0.02073052281972254,0.0,1.1065960667306216
2022-04-07,253.71534729003906,273.4564514160156,-63.92799501200682,1.3420056972354215,-1,1,0.004568971808854849,0.014101599374107376,0.009532627565252527,1.117144834899938
2022-04-08,253.6480712890625,281.0076599121094,-72.76665341299048,0.7885075234450161,-1,1,-0.00026516330878345595,0.027613934346737867,0.027879097655521323,1.1482898248474747
2022-04-11,251.0900421142578,277.0423583984375,-70.71864159108117,0.9167589788018392,-1,1,-0.01008495417215105,-0.014111008628419963,-0.004026054456268913,1.1436667474810593
2022-04-12,247.0991668701172,276.65399169921875,-74.25839529195645,0.6950910377844275,0,0,-0.0158941995888654,-0.0014018314797198395,0.01449236810914556,1.160241186979744
2022-04-13,248.4935302734375,280.3843078613281,-77.19711705609166,0.5110611708143526,0,0,0.00564293041122732,0.013483688195487842,0.0,1.160241186979744
2022-04-14,243.20436096191406,275.0553283691406,-76.2962153409772,0.567477815904404,0,0,-0.021284937703220486,-0.019005983369165924,-0.0,1.160241186979744
2022-04-18,236.73240661621094,271.1622314453125,-78.24600057204754,0.44537754732056223,0,0,-0.02661117720136863,-0.014153868412261295,-0.0,1.160241186979744
2022-04-19,242.57931518554688,278.0179138183594,-80.3625605969226,0.31283343764485083,0,0,0.02469838689560966,0.02528258576611364,0.0,1.160241186979744
2022-04-20,243.38711547851562,284.6477355957031,-87.25587226279583,-0.11884241691745538,0,0,0.003330046060814773,0.023846743133520754,0.0,1.160241186979744
