Entry_Threshold,Exit_Threshold,Beta,Total_Return,Sharpe_Ratio,Max_Drawdown,Number_of_Trades
1.0,0.75,1.1615865731352146,0.8277549723601594,1.4956955465239652,-0.0999912523661316,22.5
1.0,0.5,1.1615865731352146,0.8339702806698663,1.426197743658254,-0.11463071128494173,16.5
1.5,1.0,1.1615865731352146,0.46159057964249395,1.2809866355382913,-0.0771508442494293,10.0
1.0,0.25,1.1615865731352146,0.7706327850994557,1.1697446475654272,-0.11463071128494173,13.5
1.5,0.75,1.1615865731352146,0.47244420872360604,1.166683656002802,-0.09999125236613171,9.0
1.5,0.5,1.1615865731352146,0.5048836274279029,1.126300609471755,-0.11463071128494151,7.5
1.5,0.25,1.1615865731352146,0.5834562555886673,1.0928026470093322,-0.11463071128494151,7.5
2.5,0.75,1.1615865731352146,0.2015316641359759,1.0386015082099624,-0.04247590590888539,2.0
2.0,0.5,1.1615865731352146,0.3042829908152789,1.031800906644216,-0.07715084424942953,3.0
2.5,0.5,1.1615865731352146,0.23618379899018804,1.0292874604532718,-0.0446297145170198,2.0
2.0,0.75,1.1615865731352146,0.26772193078301965,1.0084934780823398,-0.07715084424942953,3.0
2.5,1.0,1.1615865731352146,0.15484749981277357,0.8524177510828872,-0.04247590590888539,2.0
2.0,0.25,1.1615865731352146,0.3150965298177124,0.8364107620933164,-0.07723739503970029,3.0
2.0,1.0,1.1615865731352146,0.20531325284172008,0.8285535109042993,-0.07715084424942953,3.0
2.5,0.25,1.1615865731352146,0.23121819721658365,0.720709628380002,-0.07723739503970084,2.0
3.0,0.25,1.1615865731352146,0.0,0.0,0.0,0.0
3.0,0.5,1.1615865731352146,0.0,0.0,0.0,0.0
3.0,0.75,1.1615865731352146,0.0,0.0,0.0,0.0
3.0,1.0,1.1615865731352146,0.0,0.0,0.0,0.0
